Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
,,,,,,0,,,,,,
